"dsmodel","n","nopt","p","q","optimizer","objective","elapsed","neval"
"BIB:1+A*U+(1|G)",24,1,8,"8","bobyqa",92.9914641231901,0.017,27
"BIB:1+A*U+(1|G)",24,1,8,"8","Nelder_Mead",92.99146412319124,0.022,52
"BIB:1+A*U+(1|G)",24,1,8,"8","NLOPT_LN_BOBYQA",92.99146420592174,0.019,17
"BIB:1+A*U+(1|G)",24,1,8,"8","NLOPT_LN_COBYLA",92.99146412320445,0.019,22
"BIB:1+A*U+(1|G)",24,1,8,"8","NLOPT_LN_NELDERMEAD",92.9914642289337,0.02,24
"BIB:1+A*U+(1|G)",24,1,8,"8","NLOPT_LN_SBPLX",92.99146412320445,0.02,36
"BIB:1+A*U+(1|G)",24,1,8,"8","optimx:L-BFGS-B",92.99146412319013,0.104,20
"BIB:1+A*U+(1|G)",24,1,8,"8","optimx:nlminb",92.99146412319007,0.103,22
"BIB:1+A*U+(1|G)",24,1,8,"8","optimx:spg",92.99146412319017,0.189,NA
"BIB:1+A*U+(1|G)",24,1,8,"8","optimx:bobyqa",92.9914641231901,0.105,NA
"Bond:1+A+(1|G)",21,1,3,"7","LN_BOBYQA",115.70738588549612,0.000392641,18
"Bond:1+A+(1|G)",21,1,3,"7","LN_COBYLA",115.70738588674541,0.000410567,24
"Bond:1+A+(1|G)",21,1,3,"7","LN_NELDERMEAD",115.70738588720768,0.000425996,30
"Bond:1+A+(1|G)",21,1,3,"7","LN_SBPLX",115.70738588559442,0.000510892,50
"Bond:1+A+(1|G)",21,1,3,"7","bobyqa",115.7073858855003,0.016,16
"Bond:1+A+(1|G)",21,1,3,"7","Nelder_Mead",115.70738588550735,0.019,25
"Bond:1+A+(1|G)",21,1,3,"7","NLOPT_LN_BOBYQA",115.70738588550047,0.018,10
"Bond:1+A+(1|G)",21,1,3,"7","NLOPT_LN_COBYLA",115.70738596234956,0.019,20
"Bond:1+A+(1|G)",21,1,3,"7","NLOPT_LN_NELDERMEAD",115.70738596234956,0.019,24
"Bond:1+A+(1|G)",21,1,3,"7","NLOPT_LN_SBPLX",115.70738596234956,0.02,36
"Bond:1+A+(1|G)",21,1,3,"7","optimx:L-BFGS-B",115.70738588550086,0.103,10
"Bond:1+A+(1|G)",21,1,3,"7","optimx:nlminb",115.7073858855003,0.103,13
"Bond:1+A+(1|G)",21,1,3,"7","optimx:spg",115.70738588550121,0.188,NA
"Bond:1+A+(1|G)",21,1,3,"7","optimx:bobyqa",115.7073858855003,0.104,NA
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","LN_BOBYQA",1030.9552972367592,0.676668242,336
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","LN_COBYLA",1030.9552950503848,3.958595253,1981
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","LN_SBPLX",1030.9552952496413,3.977225787,2031
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","bobyqa",1049.1801748405583,9.2,3560
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","NLOPT_LN_BOBYQA",1030.9553886992703,0.743,263
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","NLOPT_LN_COBYLA",1030.955302953647,3.556,1365
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","NLOPT_LN_SBPLX",1030.955322804627,3.843,1501
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","optimx:L-BFGS-B",1030.955295190165,7.168,46
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","optimx:nlminb",1030.9552950533887,9.879,1993
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","optimx:spg",1030.955295050327,6.749,NA
"bs10:1+U+V+W+((1+U+V+W)|G)+((1+U+V+W)|H)",1104,20,4,"368:48","optimx:bobyqa",1049.1801748405583,14.009,NA
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","LN_BOBYQA",1080.0806840680796,0.065736788,128
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","LN_COBYLA",1080.0806840666094,0.763312555,1523
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","LN_SBPLX",1080.0806840648029,0.163915094,342
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","bobyqa",1080.080684064802,0.806,288
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","NLOPT_LN_BOBYQA",1080.0806844057277,0.36,110
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","NLOPT_LN_COBYLA",1080.0807171690258,1.863,708
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","NLOPT_LN_SBPLX",1080.0806840660323,0.876,302
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","optimx:L-BFGS-B",1080.0806840654682,2.342,62
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","optimx:nlminb",1080.0806936532952,2.728,656
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","optimx:spg",1080.080684064803,2.157,NA
"bs10:1+U+V+W+(1|G)+((0+U)|G)+((0+V)|G)+((0+W)|G)+(1|H)+((0+U)|H)+((0+V)|H)+((0+W)|H)",1104,8,4,"92:92:92:92:12:12:12:12","optimx:bobyqa",1080.080684064802,1.754,NA
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","LN_BOBYQA",157869.92614932373,0.011816775,32
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","LN_COBYLA",157869.9261493416,0.021810258,67
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","LN_NELDERMEAD",157869.92614943403,0.025979589,85
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","LN_SBPLX",157869.926149336,0.036380297,123
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","bobyqa",157869.92614931962,0.354,32
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","Nelder_Mead",157869.92614935208,0.603,87
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","NLOPT_LN_BOBYQA",157869.92614932047,0.466,37
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","NLOPT_LN_COBYLA",157869.92626120558,0.821,132
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","NLOPT_LN_NELDERMEAD",157869.926149631,0.494,63
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","NLOPT_LN_SBPLX",157869.9261493324,0.604,87
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","optimx:L-BFGS-B",157869.92614934713,0.697,18
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","optimx:nlminb",157869.92614937498,0.688,42
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","optimx:spg",157869.92614932012,0.783,NA
"Chem97:1+(1|G)+(1|H)",31022,2,1,"2410:131","optimx:bobyqa",157869.92614931962,0.648,NA
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","LN_BOBYQA",141685.5602141024,0.012795451,31
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","LN_COBYLA",141685.56021410873,0.031046211,87
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","LN_NELDERMEAD",141685.5602141773,0.031433146,91
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","LN_SBPLX",141685.56021417698,0.037792142,111
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","bobyqa",141685.5602141021,0.423,42
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","Nelder_Mead",141685.56021414913,0.686,94
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","NLOPT_LN_BOBYQA",141685.56021410364,0.384,35
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","NLOPT_LN_COBYLA",141685.56077931824,1.114,176
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","NLOPT_LN_NELDERMEAD",141685.56021461418,0.554,68
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","NLOPT_LN_SBPLX",141685.56021433158,0.668,90
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","optimx:L-BFGS-B",141685.56021413402,0.794,22
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","optimx:nlminb",141685.5602141022,0.74,43
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","optimx:spg",141685.56021410244,0.918,NA
"Chem97:1+U+(1|G)+(1|H)",31022,2,2,"2410:131","optimx:bobyqa",141685.5602141021,0.74,NA
"Cultivation:1+A*B+(1|G)",24,1,6,"4","LN_BOBYQA",73.32183555936034,0.000482953,13
"Cultivation:1+A*B+(1|G)",24,1,6,"4","LN_COBYLA",73.32183555975072,0.000491936,24
"Cultivation:1+A*B+(1|G)",24,1,6,"4","LN_NELDERMEAD",73.32183556430974,0.000522849,30
"Cultivation:1+A*B+(1|G)",24,1,6,"4","LN_SBPLX",73.32183555975072,0.000590492,50
"Cultivation:1+A*B+(1|G)",24,1,6,"4","bobyqa",73.32183555936021,0.017,23
"Cultivation:1+A*B+(1|G)",24,1,6,"4","Nelder_Mead",73.32183555938266,0.021,43
"Cultivation:1+A*B+(1|G)",24,1,6,"4","NLOPT_LN_BOBYQA",73.32183555936022,0.019,11
"Cultivation:1+A*B+(1|G)",24,1,6,"4","NLOPT_LN_COBYLA",73.32183556703185,0.02,19
"Cultivation:1+A*B+(1|G)",24,1,6,"4","NLOPT_LN_NELDERMEAD",73.32183556703183,0.02,24
"Cultivation:1+A*B+(1|G)",24,1,6,"4","NLOPT_LN_SBPLX",73.32183556703185,0.021,36
"Cultivation:1+A*B+(1|G)",24,1,6,"4","optimx:L-BFGS-B",73.32183555936139,0.107,18
"Cultivation:1+A*B+(1|G)",24,1,6,"4","optimx:nlminb",73.3218355593602,0.107,21
"Cultivation:1+A*B+(1|G)",24,1,6,"4","optimx:spg",73.32183555936037,0.194,NA
"Cultivation:1+A*B+(1|G)",24,1,6,"4","optimx:bobyqa",73.32183555936021,0.107,NA
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","LN_BOBYQA",-260.6283232493387,0.000861109,40
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","LN_COBYLA",-260.62832317781846,0.002862976,253
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","LN_NELDERMEAD",-257.4090478799182,0.000862784,44
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","LN_SBPLX",-260.6283232476047,0.001499109,112
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","bobyqa",-260.6283232485351,0.026,88
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","Nelder_Mead",-260.62832324852934,0.036,139
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","NLOPT_LN_BOBYQA",-260.6283232477673,0.025,29
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","NLOPT_LN_COBYLA",-260.6283229918972,0.026,36
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","NLOPT_LN_NELDERMEAD",-260.6283230548743,0.028,66
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","NLOPT_LN_SBPLX",-260.6283232389444,0.028,83
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","optimx:L-BFGS-B",-260.62832324853053,0.119,40
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","optimx:nlminb",-260.6283232483499,0.114,34
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","optimx:spg",-260.6283232470302,0.207,NA
"Demand:1+U+V+W+X+(1|G)+(1|H)",77,2,5,"11:7","optimx:bobyqa",-260.6283232485351,0.118,NA
"Dyestuff:1+(1|G)",30,1,1,"6","LN_BOBYQA",327.32705988113594,0.00035047,18
"Dyestuff:1+(1|G)",30,1,1,"6","LN_COBYLA",327.32705988279287,0.000376721,27
"Dyestuff:1+(1|G)",30,1,1,"6","LN_NELDERMEAD",327.327059902227,0.000362475,28
"Dyestuff:1+(1|G)",30,1,1,"6","LN_SBPLX",327.327059902227,0.000420738,43
"Dyestuff:1+(1|G)",30,1,1,"6","bobyqa",327.3270598811351,0.016,18
"Dyestuff:1+(1|G)",30,1,1,"6","Nelder_Mead",327.32705988116606,0.019,36
"Dyestuff:1+(1|G)",30,1,1,"6","NLOPT_LN_BOBYQA",327.3270598811366,0.018,18
"Dyestuff:1+(1|G)",30,1,1,"6","NLOPT_LN_COBYLA",327.32705988183795,0.018,22
"Dyestuff:1+(1|G)",30,1,1,"6","NLOPT_LN_NELDERMEAD",327.32706101376345,0.018,22
"Dyestuff:1+(1|G)",30,1,1,"6","NLOPT_LN_SBPLX",327.32706101376345,0.019,30
"Dyestuff:1+(1|G)",30,1,1,"6","optimx:L-BFGS-B",327.32705988113986,0.106,16
"Dyestuff:1+(1|G)",30,1,1,"6","optimx:nlminb",327.3270598811354,0.106,15
"Dyestuff:1+(1|G)",30,1,1,"6","optimx:spg",327.3270598811355,0.193,NA
"Dyestuff:1+(1|G)",30,1,1,"6","optimx:bobyqa",327.3270598811351,0.106,NA
"Dyestuff2:1+(1|G)",30,1,1,"6","LN_BOBYQA",162.87303665382575,0.000351645,20
"Dyestuff2:1+(1|G)",30,1,1,"6","LN_COBYLA",162.87303665382575,0.001340135,22
"Dyestuff2:1+(1|G)",30,1,1,"6","LN_NELDERMEAD",162.87303665382575,0.000293028,4
"Dyestuff2:1+(1|G)",30,1,1,"6","LN_SBPLX",162.87303665570963,0.000324617,12
"Dyestuff2:1+(1|G)",30,1,1,"6","bobyqa",162.87303665382575,0.016,14
"Dyestuff2:1+(1|G)",30,1,1,"6","Nelder_Mead",162.87303665382575,0.017,10
"Dyestuff2:1+(1|G)",30,1,1,"6","NLOPT_LN_BOBYQA",162.87303665382575,0.018,10
"Dyestuff2:1+(1|G)",30,1,1,"6","NLOPT_LN_COBYLA",162.87303665382575,0.019,9
"Dyestuff2:1+(1|G)",30,1,1,"6","NLOPT_LN_NELDERMEAD",162.87303665382575,0.018,4
"Dyestuff2:1+(1|G)",30,1,1,"6","NLOPT_LN_SBPLX",162.87303665382575,0.018,9
"Dyestuff2:1+(1|G)",30,1,1,"6","optimx:L-BFGS-B",162.87303665382575,0.105,4
"Dyestuff2:1+(1|G)",30,1,1,"6","optimx:nlminb",162.87303665382575,0.105,4
"Dyestuff2:1+(1|G)",30,1,1,"6","optimx:spg",162.87303665382575,0.192,NA
"Dyestuff2:1+(1|G)",30,1,1,"6","optimx:bobyqa",162.87303665382575,0.107,NA
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","LN_BOBYQA",9325.4273050669,0.001155701,20
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","LN_COBYLA",9325.42730506727,0.001211224,32
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","LN_NELDERMEAD",9325.427305072133,0.001293448,38
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","LN_SBPLX",9325.427305072133,0.001515314,59
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","bobyqa",9325.427305066893,0.037,16
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","Nelder_Mead",9325.427305067413,0.045,30
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","NLOPT_LN_BOBYQA",9325.42730506741,0.039,17
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","NLOPT_LN_COBYLA",9325.427305894524,0.041,20
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","NLOPT_LN_NELDERMEAD",9325.427305070447,0.044,28
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","NLOPT_LN_SBPLX",9325.427305070447,0.05,39
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","optimx:L-BFGS-B",9325.427305070953,0.139,16
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","optimx:nlminb",9325.427305066909,0.135,15
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","optimx:spg",9325.427305066904,0.222,NA
"Exam:1+A+B+U+(1|G)",4059,1,5,"65","optimx:bobyqa",9325.427305066893,0.136,NA
"Gasoline:1+U+(1|G)",32,1,2,"10","LN_BOBYQA",170.6625195644217,0.000418105,21
"Gasoline:1+U+(1|G)",32,1,2,"10","LN_COBYLA",170.66251956637257,0.000411797,26
"Gasoline:1+U+(1|G)",32,1,2,"10","LN_NELDERMEAD",170.66251966191214,0.000428109,28
"Gasoline:1+U+(1|G)",32,1,2,"10","LN_SBPLX",170.662519569427,0.000506034,49
"Gasoline:1+U+(1|G)",32,1,2,"10","bobyqa",170.6625195644247,0.017,29
"Gasoline:1+U+(1|G)",32,1,2,"10","Nelder_Mead",170.66251956442494,0.021,54
"Gasoline:1+U+(1|G)",32,1,2,"10","NLOPT_LN_BOBYQA",170.6625195644396,0.019,26
"Gasoline:1+U+(1|G)",32,1,2,"10","NLOPT_LN_COBYLA",170.66251956491107,0.019,28
"Gasoline:1+U+(1|G)",32,1,2,"10","NLOPT_LN_NELDERMEAD",170.66251968254772,0.019,28
"Gasoline:1+U+(1|G)",32,1,2,"10","NLOPT_LN_SBPLX",170.6625196541547,0.02,39
"Gasoline:1+U+(1|G)",32,1,2,"10","optimx:L-BFGS-B",170.66251956442474,0.106,20
